,X,Y,Z,U,V,W
1 days 09:45:00,-6096.938878722006,-1154.7344618598354,-3077.0738399072443,-1.5023172365785218,-5.471002746006264,5.0389609290000985
1 days 09:46:40,-6210.330211610107,-1693.8200858093724,-2555.6965144592277,-0.7631748243991778,-5.2999227399313895,5.378179722164956
1 days 09:48:20,-6249.253856715046,-2212.5945763789823,-2003.590574263005,-0.014458405224255705,-5.065177074337002,5.6529067597135025
1 days 09:50:00,-6213.2028974168015,-2704.8235947515277,-1427.3810665246383,0.7348074051705368,-4.769530339331218,5.859748928551868
1 days 09:51:40,-6102.575476002369,-3164.586396586674,-833.9924510909375,1.4755652680030922,-4.416500570764329,5.996136554830329
1 days 09:53:20,-5918.672050924609,-3586.3507807406772,-230.56237647901688,2.1988434329671307,-4.010317876052883,6.06036217485263
1 days 09:55:00,-5663.681493248697,-3965.040405016384,375.6440249205064,2.895869664224063,-3.5558742344340573,6.051606205692378
1 days 09:56:40,-5340.6546858001575,-4296.099271302264,977.3256420620086,3.5581879723236955,-3.058660682977259,5.969950433464422
1 days 09:58:20,-4953.468270121891,-4575.547034886967,1567.2336923382447,4.177766665201891,-2.524698122385734,5.8163780557245754
1 days 10:00:00,-4506.775814683956,-4800.029116132499,2138.2632253540937,4.747104433095356,-1.960457306074805,5.5927601277576935
1 days 10:01:40,-4005.951252702673,-4966.8566937984,2683.538839009139,5.259324069611857,-1.3727759335623975,5.301829823990778
1 days 10:03:20,-3457.020566581622,-5074.039607329413,3196.5008672055505,5.708260075990089,-0.7687677682080065,4.947143307492422
1 days 10:05:00,-2866.58847152217,-5120.3089481886045,3670.9835926125156,6.088531618001672,-0.15573274223979672,4.533031130080721
1 days 10:06:40,-2241.754881135878,-5105.131284309716,4101.291386119426,6.3956065021622255,0.4589377174574781,4.064537771645455
1 days 10:08:20,-1590.0293835967013,-5028.713135799718,4482.265326329321,6.625850000914808,1.0678508534997362,3.5473553054020965
1 days 10:10:00,-919.2374600678804,-4891.996426470043,4809.345588980814,6.776563308411128,1.6637046538078553,2.987747430989831
1 days 10:11:40,-237.4276568551427,-4696.645366629126,5078.623514812142,6.846007968360592,2.2393728548427942,2.3924713266811906
1 days 10:13:20,447.2273872279029,-4445.024157614612,5286.887748993751,6.833419705353088,2.787989742709537,1.7686920928402592
1 days 10:15:00,1126.526357728633,-4140.167700948897,5431.659948638781,6.73901038029411,3.3030265136723416,1.1238981105075248
1 days 10:16:40,1792.3384700752306,-3785.7434675903746,5511.223247533406,6.563959736821748,3.7783659193835706,0.46581098395746107
1 days 10:18:20,2436.6985723369203,-3386.0071973924832,5524.64081857635,6.310397155956149,4.208369209728514,-0.19770305929803894
1 days 10:20:00,3051.9000666464285,-2945.7524683255233,5471.765953696806,5.98137474173017,4.587937787556996,-0.8587220604864882
1 days 10:21:40,3630.587189115479,-2470.252604114187,5353.24304765806,5.580830342033506,4.912570745062582,-1.5093598169341476
1 days 10:23:20,4165.83949341235,-1965.1998103256014,5170.499842787552,5.113543864292418,5.178414112777191,-2.1418528794109917
1 days 10:25:00,4651.2552597084,-1436.636642306739,4925.7302602465115,4.585082864324743,5.38230617093432,-2.748650807101851
1 days 10:26:40,5081.025617203596,-890.8865024409366,4621.86944392251,4.001742583246705,5.521814294053291,-3.322500891307218
1 days 10:28:20,5450.005372282932,-334.4774113084066,4262.558858509664,3.370474530426412,5.595266203479488,-3.856534786492588
1 days 10:30:00,5753.773531511975,225.93346990130817,3852.104803402826,2.698810467829823,5.6017724087302,-4.344348524507045
1 days 10:31:40,5988.688192331426,783.6407160612787,3395.4267996503404,1.9947746240498383,5.541240929340241,-4.780082258306012
1 days 10:33:20,6151.930329756095,1331.9689453566464,2898.0008666678114,1.2667926671803658,5.414382665778073,-5.15849179409477
1 days 10:35:00,6241.539644488743,1864.354757220727,2365.7930147892794,0.5235896309755531,5.222706867726103,-5.475016868687431
1 days 10:36:40,6256.438862983375,2374.424191672037,1805.189463230521,-0.2259131709074186,4.968506971262861,-5.725839291321385
1 days 10:38:20,6196.4480773506475,2856.07165905078,1222.9180646952072,-0.9727101546431967,4.654834891518068,-5.907934457302769
1 days 10:40:00,6062.28764183471,3303.532497222952,625.9686691024201,-1.707821282048256,4.285466179225211,-6.019110979974839
1 days 10:41:40,5855.569651271139,3711.454612886771,21.506342403500437,-2.4224073706598537,3.8648530671139985,-6.058040600372412
1 days 10:43:20,5578.778796069192,4074.9620653053757,-583.2139856402325,-3.1078793751292895,3.3980699873266276,-6.024275273622014
